                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.5929,                 1.9906,                 1.9885,                0.67508,                0.50561,                0.55314,                0.30564,                 1.5569,                 1.7582,                 2.0507,              0.0098376,              0.0098376,              0.0098376
                     84,                 1.6052,                 1.9869,                 1.9546,                0.69647,                0.48803,                0.58445,                0.33384,                 1.5471,                 1.6259,                 2.0481,              0.0098357,              0.0098357,              0.0098357
                     85,                 1.5961,                 2.0014,                 1.9633,                0.72746,                0.49223,                0.58788,                0.34061,                 1.5041,                 1.6006,                 1.9999,              0.0098337,              0.0098337,              0.0098337
                     86,                 1.5993,                 1.9524,                 1.9589,                0.53024,                0.53685,                0.56862,                0.31323,                 1.5527,                 1.6876,                 2.0436,              0.0098317,              0.0098317,              0.0098317
                     87,                 1.5865,                 1.9616,                  1.945,                0.56599,                0.55672,                0.57388,                0.32786,                 1.5105,                 1.6276,                 1.9871,              0.0098297,              0.0098297,              0.0098297
                     88,                   1.53,                 1.9189,                 1.8959,                0.54249,                0.62553,                0.61397,                0.36448,                  1.452,                 1.5442,                 1.9375,              0.0098277,              0.0098277,              0.0098277
                     89,                 1.5552,                  1.942,                 1.8974,                0.74246,                0.51659,                0.61172,                0.36545,                 1.4435,                 1.5279,                 1.9404,              0.0098258,              0.0098258,              0.0098258
                     90,                   1.56,                 1.9409,                 1.9248,                 0.6828,                0.52164,                0.58977,                 0.3475,                 1.4613,                 1.5118,                 1.9632,              0.0098238,              0.0098238,              0.0098238
                     91,                 1.5688,                 1.9561,                 1.9246,                0.66474,                0.52586,                0.60441,                0.35141,                 1.4799,                 1.5165,                 1.9823,              0.0098218,              0.0098218,              0.0098218
                     92,                 1.5466,                 1.8917,                 1.9114,                0.71617,                0.53385,                0.60339,                 0.3573,                 1.4603,                 1.5008,                 1.9286,              0.0098198,              0.0098198,              0.0098198
                     93,                 1.5729,                 2.0006,                 1.9372,                0.69799,                0.56095,                0.63655,                0.38789,                 1.4073,                 1.4433,                 1.8854,              0.0098178,              0.0098178,              0.0098178
                     94,                 1.5291,                  1.874,                    1.9,                0.69692,                0.52517,                 0.6117,                0.36982,                 1.4332,                 1.5193,                 1.9308,              0.0098159,              0.0098159,              0.0098159
                     95,                 1.4894,                 1.8805,                 1.8528,                0.69864,                 0.5922,                0.62225,                0.37126,                  1.418,                   1.44,                  1.904,              0.0098139,              0.0098139,              0.0098139
                     96,                 1.5107,                 1.7949,                 1.8659,                0.68712,                0.62627,                0.64433,                0.38107,                   1.45,                 1.4556,                 1.9371,              0.0098119,              0.0098119,              0.0098119
                     97,                 1.5281,                 1.8145,                 1.8812,                0.53308,                0.57749,                0.58024,                0.34665,                 1.4492,                 1.5828,                 1.9464,              0.0098099,              0.0098099,              0.0098099
                     98,                 1.4973,                 1.8665,                 1.8632,                0.69789,                0.57183,                 0.6429,                0.38762,                 1.4036,                 1.4714,                 1.8738,              0.0098079,              0.0098079,              0.0098079
                     99,                 1.4978,                 1.8233,                  1.876,                0.65217,                0.62467,                0.66931,                 0.4037,                 1.3979,                   1.43,                 1.8867,               0.009806,               0.009806,               0.009806
                    100,                 1.4807,                 1.8047,                 1.8558,                0.59977,                0.61094,                0.63225,                0.38732,                 1.3797,                  1.399,                 1.8647,               0.009804,               0.009804,               0.009804
                    101,                 1.5225,                 1.8046,                 1.8821,                0.63561,                0.69675,                 0.6944,                0.41656,                 1.4058,                 1.3916,                 1.8801,               0.009802,               0.009802,               0.009802
                    102,                 1.5394,                 1.8533,                 1.8783,                0.60178,                0.65579,                0.66538,                 0.3977,                 1.4899,                 1.4385,                 1.9454,                 0.0098,                 0.0098,                 0.0098
                    103,                 1.5144,                 1.8155,                 1.8768,                0.70608,                0.64169,                 0.6863,                0.41586,                 1.4008,                 1.3712,                 1.8699,               0.009798,               0.009798,               0.009798
                    104,                  1.488,                 1.8065,                 1.8451,                0.64801,                0.64242,                0.69427,                0.41572,                 1.3756,                 1.3486,                 1.8407,              0.0097961,              0.0097961,              0.0097961
                    105,                 1.5369,                 1.7801,                 1.8935,                0.66992,                0.63894,                0.70015,                0.41886,                 1.4041,                 1.3319,                 1.9135,              0.0097941,              0.0097941,              0.0097941
                    106,                  1.465,                 1.7395,                 1.8328,                0.71175,                0.63037,                0.69674,                0.42818,                 1.3897,                 1.3946,                 1.8994,              0.0097921,              0.0097921,              0.0097921
                    107,                 1.5136,                  1.775,                 1.8526,                0.74494,                0.59402,                0.70127,                0.43928,                 1.3631,                 1.3665,                 1.8443,              0.0097901,              0.0097901,              0.0097901
                    108,                 1.4903,                 1.7966,                 1.8742,                0.67935,                 0.6345,                0.70199,                0.44177,                 1.3885,                 1.3615,                 1.8635,              0.0097881,              0.0097881,              0.0097881
                    109,                 1.5089,                  1.806,                 1.8847,                0.67483,                0.68186,                0.70996,                0.44758,                 1.3327,                 1.2663,                 1.8116,              0.0097862,              0.0097862,              0.0097862
                    110,                 1.4609,                 1.6854,                  1.808,                0.68536,                0.66296,                0.70697,                  0.447,                 1.3376,                 1.2835,                 1.8267,              0.0097842,              0.0097842,              0.0097842
                    111,                 1.4669,                 1.7407,                 1.8222,                0.68201,                0.65841,                0.70644,                0.44446,                 1.3513,                 1.2758,                 1.8217,              0.0097822,              0.0097822,              0.0097822
                    112,                 1.4473,                 1.6559,                 1.8058,                0.64945,                0.68512,                  0.691,                0.42481,                 1.4343,                 1.3233,                 1.8751,              0.0097802,              0.0097802,              0.0097802
                    113,                 1.4711,                 1.7529,                 1.8328,                0.71072,                0.68474,                0.74219,                 0.4645,                 1.3419,                 1.2742,                 1.8136,              0.0097782,              0.0097782,              0.0097782
                    114,                  1.478,                 1.7569,                  1.839,                 0.6795,                0.67672,                0.73369,                0.47342,                 1.2865,                 1.2897,                 1.7761,              0.0097763,              0.0097763,              0.0097763
                    115,                 1.4587,                  1.764,                  1.817,                0.64077,                0.72196,                0.74039,                0.47355,                 1.3115,                 1.2768,                 1.7874,              0.0097743,              0.0097743,              0.0097743
                    116,                 1.4119,                 1.6591,                 1.7733,                0.74224,                0.68544,                0.74893,                0.48907,                 1.2956,                 1.2081,                 1.7718,              0.0097723,              0.0097723,              0.0097723
                    117,                 1.4714,                 1.6902,                 1.8211,                0.78087,                 0.6754,                 0.7544,                0.48236,                 1.3002,                 1.2362,                 1.7781,              0.0097703,              0.0097703,              0.0097703
                    118,                 1.4322,                  1.633,                 1.8022,                0.74148,                0.64501,                0.73676,                0.46977,                 1.2769,                 1.2674,                 1.7577,              0.0097683,              0.0097683,              0.0097683
                    119,                 1.4104,                 1.6666,                 1.7884,                0.65809,                0.64607,                0.71056,                0.44272,                 1.3101,                 1.3389,                 1.8135,              0.0097664,              0.0097664,              0.0097664
                    120,                 1.4231,                 1.6879,                 1.7849,                0.74231,                0.61829,                0.70437,                0.41137,                 1.4361,                 1.3767,                  1.915,              0.0097644,              0.0097644,              0.0097644
                    121,                 1.4186,                 1.6189,                 1.7926,                0.76224,                0.69993,                0.77466,                0.51267,                 1.2401,                 1.1804,                 1.7258,              0.0097624,              0.0097624,              0.0097624
                    122,                 1.4492,                  1.681,                 1.7931,                0.73504,                0.68885,                0.76551,                0.50206,                 1.2424,                 1.2189,                 1.7268,              0.0097604,              0.0097604,              0.0097604
                    123,                 1.4207,                 1.6201,                 1.7884,                0.77502,                0.67973,                0.74907,                0.49167,                 1.2773,                 1.2037,                 1.7661,              0.0097584,              0.0097584,              0.0097584
                    124,                 1.3902,                 1.6148,                  1.766,                0.79043,                0.69393,                 0.7612,                0.50207,                  1.267,                 1.1877,                 1.7346,              0.0097565,              0.0097565,              0.0097565
                    125,                 1.4382,                 1.6343,                 1.7907,                0.73055,                0.74274,                0.77721,                0.51207,                 1.2512,                 1.1345,                 1.7304,              0.0097545,              0.0097545,              0.0097545
                    126,                 1.4394,                 1.6565,                 1.8014,                0.71968,                0.70246,                0.75949,                0.47263,                 1.3084,                 1.2062,                 1.7664,              0.0097525,              0.0097525,              0.0097525
                    127,                 1.4181,                 1.6134,                 1.7937,                0.77226,                0.77253,                 0.7966,                0.54262,                 1.1993,                 1.1078,                 1.6836,              0.0097505,              0.0097505,              0.0097505
                    128,                 1.3777,                 1.5446,                 1.7476,                0.69049,                0.73591,                0.76686,                0.49697,                 1.2321,                 1.1304,                 1.7076,              0.0097485,              0.0097485,              0.0097485
                    129,                 1.4039,                 1.6297,                 1.7645,                0.77922,                0.68895,                 0.7532,                0.49088,                 1.2757,                 1.1852,                 1.7345,              0.0097466,              0.0097466,              0.0097466
                    130,                 1.3865,                 1.5994,                 1.7462,                0.72314,                0.72597,                0.78024,                0.50349,                 1.2304,                 1.1391,                 1.7019,              0.0097446,              0.0097446,              0.0097446
                    131,                 1.4024,                 1.5636,                 1.7571,                0.75895,                 0.7402,                0.79752,                0.52751,                 1.1968,                 1.1336,                 1.6727,              0.0097426,              0.0097426,              0.0097426
                    132,                 1.3868,                  1.555,                 1.7544,                0.75351,                0.71406,                0.81198,                0.54505,                 1.2154,                  1.112,                 1.6956,              0.0097406,              0.0097406,              0.0097406
